year,age_group,N
1990,25,463
1990,20,480
1990,30,229
1990,35,155
1990,40,57
1990,45,10
1990,18,61
1990,50,10
1990,0,10
1990,55,10
1991,20,337
1991,25,432
1991,30,249
1991,35,170
1991,40,91
1991,0,20
1991,18,64
1991,45,20
1991,55,10
1991,50,10
1992,30,599
1992,18,129
1992,20,831
1992,25,1064
1992,35,363
1992,0,27
1992,45,48
1992,40,194
1992,55,10
1992,50,10
1993,40,155
1993,20,640
1993,30,513
1993,35,242
1993,25,823
1993,45,40
1993,18,94
1993,50,10
1993,0,29
1993,55,10
1994,30,608
1994,25,866
1994,35,262
1994,40,171
1994,18,116
1994,20,659
1994,0,37
1994,45,56
1994,50,10
1994,55,10
1994,60,10
1995,30,495
1995,20,466
1995,25,699
1995,35,224
1995,45,58
1995,18,75
1995,40,173
1995,50,11
1995,0,25
1995,60,10
1995,55,10
1996,25,791
1996,35,303
1996,20,577
1996,30,608
1996,40,184
1996,45,86
1996,18,111
1996,50,12
1996,0,36
1997,25,609
1997,20,468
1997,30,483
1997,45,62
1997,18,91
1997,40,120
1997,35,225
1997,0,46
1997,50,14
1997,60,10
1997,55,10
1998,35,324
1998,20,556
1998,25,707
1998,30,616
1998,40,179
1998,18,153
1998,45,92
1998,0,39
1998,60,10
1998,50,23
1998,55,10
1999,25,783
1999,35,406
1999,20,616
1999,45,94
1999,30,659
1999,50,24
1999,40,159
1999,55,10
1999,18,156
1999,0,41
1999,60,10
2000,45,92
2000,30,648
2000,20,566
2000,25,710
2000,18,128
2000,35,367
2000,40,148
2000,0,49
2000,50,23
2000,55,10
2000,65,10
2001,20,484
2001,35,343
2001,30,532
2001,25,622
2001,40,157
2001,18,90
2001,45,69
2001,50,25
2001,0,21
2001,60,10
2001,55,10
2002,35,403
2002,45,90
2002,40,165
2002,30,555
2002,20,368
2002,25,501
2002,50,52
2002,0,13
2002,18,50
2002,55,11
2002,65,10
2002,60,10
2003,30,517
2003,25,478
2003,40,184
2003,45,84
2003,35,389
2003,20,329
2003,50,56
2003,18,41
2003,0,13
2003,55,15
2004,25,454
2004,20,325
2004,30,462
2004,35,344
2004,45,88
2004,40,181
2004,50,31
2004,55,11
2004,18,40
2004,0,17
2004,60,10
2004,65,10
2005,25,537
2005,18,50
2005,35,418
2005,30,529
2005,50,50
2005,20,320
2005,40,240
2005,55,16
2005,45,90
2005,0,17
2005,60,10
2006,40,241
2006,25,551
2006,30,550
2006,18,50
2006,0,17
2006,45,111
2006,35,454
2006,50,46
2006,20,336
2006,55,14
2006,60,10
2007,35,478
2007,20,352
2007,40,251
2007,25,646
2007,30,590
2007,55,15
2007,45,103
2007,50,48
2007,18,58
2007,0,24
2007,60,10
2007,70,10
2008,30,494
2008,35,430
2008,40,291
2008,45,110
2008,20,276
2008,25,502
2008,18,40
2008,0,14
2008,50,44
2008,55,10
2008,60,10
2009,25,443
2009,0,14
2009,20,247
2009,35,430
2009,30,494
2009,40,295
2009,45,129
2009,18,48
2009,50,47
2009,55,29
2009,65,10
2009,60,10
2010,20,217
2010,30,468
2010,45,153
2010,40,286
2010,25,371
2010,35,441
2010,18,32
2010,60,10
2010,50,51
2010,55,20
2010,0,14
2011,25,280
2011,30,405
2011,18,20
2011,35,377
2011,50,46
2011,40,260
2011,45,136
2011,20,152
2011,60,10
2011,0,10
2011,55,15
2011,65,10
2012,30,455
2012,55,14
2012,35,444
2012,25,374
2012,40,340
2012,20,178
2012,45,169
2012,50,70
2012,18,30
2012,0,10
2012,60,10
2013,35,495
2013,25,345
2013,40,351
2013,30,493
2013,45,177
2013,20,134
2013,50,86
2013,0,10
2013,55,20
2013,18,12
2013,60,14
2013,65,10
2014,25,293
2014,30,441
2014,40,382
2014,35,432
2014,20,133
2014,45,218
2014,50,110
2014,18,12
2014,55,18
2014,60,10
2014,65,10
2015,35,434
2015,25,254
2015,30,363
2015,45,232
2015,50,110
2015,40,331
2015,20,86
2015,18,10
2015,55,41
2015,60,11
2015,65,10
2015,0,10
2016,55,44
2016,30,387
2016,35,430
2016,40,390
2016,25,206
2016,45,265
2016,50,116
2016,20,50
2016,60,10
2016,65,10
2016,18,10
2017,30,348
2017,20,51
2017,55,34
2017,45,271
2017,25,179
2017,40,342
2017,35,406
2017,18,10
2017,50,127
2017,60,22
2017,65,10
2017,0,10
2018,40,384
2018,50,162
2018,30,313
2018,35,446
2018,25,161
2018,60,11
2018,45,272
2018,20,54
2018,55,49
2018,65,10
2018,18,10
2019,20,51
2019,35,460
2019,25,146
2019,45,309
2019,40,416
2019,55,64
2019,50,146
2019,30,369
2019,70,10
2019,60,15
2019,18,10
2019,0,10
2019,65,10
